name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,notes,normalized_category,target_kind,review_status,review_gates,dedupe_key,source_file
Nina Nicks Joseph Child Development Center,209 South Washington Avenue,Mobile,AL,36602,USA,childcare,child development center,childcare; early education; infants; toddlers; preschool; school-age care; after-school transportation; subsidy participants,Community-based nonprofit child development center serving ages six weeks through 12 years with research-based educational play and year-round care.,https://www.childdaycare.org/,,,,https://www.childdaycare.org/,Nina Nicks Joseph Child Development Center official website,Community-based nonprofit center,https://www.childdaycare.org/,Official site self-states community-based nonprofit status,Children & Family,regulated_review,needs_research,geocode_before_public_pin;ownership_evidence_manual_confirmation_required;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,nina nicks joseph child development center|209 south washington avenue|mobile|al,45.csv
Dauphin's,107 St. Francis Street 34th Floor,Mobile,AL,36602,USA,food,casual fine dining,Southern Creole; Caribbean influences; jazz brunch; lunch; dinner; happy hour; reservations,Casual fine dining on the 34th floor of the Trustmark Building with Southern Creole cuisine and Caribbean hints plus Mobile Bay views.,https://www.godauphins.com/,https://www.instagram.com/godauphins,https://www.facebook.com/godauphins,,https://www.godauphins.com/,Dauphin's official website,,,Official site provides exact address menus hours and social links.,Food & Drink,business,pending_review,geocode_before_public_pin;source_url_and_address_manual_confirmation_required,dauphin s|107 st francis street 34th floor|mobile|al,45.csv
T.P. Crockmier's,250 Dauphin St,Mobile,AL,36602,USA,nightlife,bar and grill,Gulf Coast seafood; burgers; Southern comfort food; brunch; lunch; dinner; live music; private events; balcony dining,Downtown Mobile bar and grill serving seafood burgers Southern comfort food drinks and live music for more than 40 years.,https://tpcrockmiers.com/,https://instagram.com/tpcrockmiersal,https://facebook.com/tpcrockmiers,,https://tpcrockmiers.com/,T.P. Crockmier's official website,,,Official site lists Mobile address and Wednesday-Sunday operating hours; not treated as closed because only Monday-Tuesday are closed.,Food & Drink,business,pending_review,geocode_before_public_pin;source_url_and_address_manual_confirmation_required,t p crockmier s|250 dauphin st|mobile|al,45.csv
The Noble South,203 Dauphin St,Mobile,AL,36602,USA,food,farm-to-table restaurant,Southern farm-to-table; local seasonal ingredients; lunch; dinner; brunch; catering; private chef experiences,Southern farm-to-table kitchen working with local farms and offering an evolving seasonal menu,,,https://thenoblesouthrestaurant.com/,https://www.instagram.com/the_noble_south/,https://www.facebook.com/TheNobleSouthMobileAL,,https://thenoblesouthrestaurant.com/,,,Food & Drink,business,needs_research,geocode_before_public_pin;ownership_evidence_manual_confirmation_required;source_url_and_address_manual_confirmation_required,the noble south|203 dauphin st|mobile|al,45.csv
Daycool Heating & Air,7844 Bullitt Dr,Mobile,AL,36619,USA,home trades,HVAC contractor,AC repair; HVAC installation; duct cleaning; Aeroseal duct sealing; ductless mini-splits; attic insulation; indoor air quality; emergency service; financing,Licensed and insured Mobile-area HVAC contractor providing residential and commercial heating and air-conditioning service plus emergency response.,https://daycoolair.com/,,https://www.facebook.com/daycoolheatingandair,https://www.tiktok.com/@daycoolheatingandair,https://daycoolair.com/,Daycool Heating & Air official website,Family-owned since 2007,https://daycoolair.com/,Official site self-states family-owned,Home & Property Services,regulated_review,needs_research,geocode_before_public_pin;ownership_evidence_manual_confirmation_required;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,daycool heating air|7844 bullitt dr|mobile|al,45.csv
Africa Town Freedom Tours,1019 Center Street,Mobile,AL,,USA,travel,heritage tours,guided tours; Africatown history; landmark tours; boat tours; Clotilda wreck experiences; reservations,Mobile tour guide offering guided experiences focused on Africatown landmarks and history; official page notes periodic boat tours to the Clotilda wreck.,,,https://www.facebook.com/p/Africa-Town-Freedom-Tours-100089956477763/,,https://www.facebook.com/p/Africa-Town-Freedom-Tours-100089956477763/,Africa Town Freedom Tours official Facebook page,,,Official Facebook page lists address,Travel & Hospitality,business,pending_review,geocode_before_public_pin;source_url_and_address_manual_confirmation_required,africa town freedom tours|1019 center street|mobile|al,45.csv
African Millennium Braids,4054 Norman Bridge Road,Montgomery,AL,36105,USA,beauty,braiding salon,hair braiding; braids; styles for men women and children; professional hairstyles,"Hair-braiding salon serving Metro Montgomery with professional styles for men, women, and children.",https://www.africanmilleniumbraids.com/,https://www.instagram.com/africanmillenniumbraids334/?hl=en,https://www.facebook.com/African-Millennium-Braids-452255835151674/,,https://www.africanmilleniumbraids.com/,African Millennium Braids,locally owned and operated,https://www.africanmilleniumbraids.com/,Official website explicitly says locally owned and operated and provides address.,Beauty & Personal Care,business,needs_research,geocode_before_public_pin;ownership_evidence_manual_confirmation_required;source_url_and_address_manual_confirmation_required,african millennium braids|4054 norman bridge road|montgomery|al,44.csv
Family Guidance Center of Alabama,2358 Fairlane Drive,Montgomery,AL,36116,USA,childcare,family and early-care services,child care resources; financial assistance; Head Start; early care training; parenting education; counseling,"Alabama family-services organization offering early-care training, child-care resources, family support, and counseling; Montgomery main address is publicly listed.",https://www.familyguidancecenter.org/,,,,https://www.familyguidancecenter.org/,Family Guidance Center of Alabama,,,Official website confirms family,Children & Family,regulated_review,needs_research,geocode_before_public_pin;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,family guidance center of alabama|2358 fairlane drive|montgomery|al,44.csv
Central Restaurant,129 Coosa Street,Montgomery,AL,36104,USA,food,upscale casual restaurant,dinner; wood-fired dishes; Gulf seafood; local meats; private events; catering,Locally owned upscale-casual restaurant and event venue in downtown Montgomery highlighting local and seasonal ingredients.,https://central129coosa.com/,https://instagram.com/central129coosa,http://www.facebook.com/central129coosa,,https://central129coosa.com/,Central Restaurant,locally owned,https://central129coosa.com/,Official website states locally owned and provides Montgomery address.,Food & Drink,business,needs_research,geocode_before_public_pin;ownership_evidence_manual_confirmation_required;source_url_and_address_manual_confirmation_required,central restaurant|129 coosa street|montgomery|al,44.csv
Double Down Bistro,3416 Atlanta Hwy,Montgomery,AL,36109,USA,nightlife,bistro and bar,food; drinks; rhythm and blues; reservations; catering; private parties,"Montgomery bistro offering food, drinks, reservations, catering, and private events with a nightlife-oriented atmosphere.",https://doubledownbistro.com/,https://www.instagram.com/_doubledownbistro,https://www.facebook.com/111960631908782,,https://doubledownbistro.com/,Double Down Bistro,,,Official website lists hours,Food & Drink,business,pending_review,geocode_before_public_pin;source_url_and_address_manual_confirmation_required,double down bistro|3416 atlanta hwy|montgomery|al,44.csv
Perennial Restaurant,1914 Mulberry Street,Montgomery,AL,36106,USA,food,locally sourced restaurant,locally sourced food; dinner; conscious dining; community; small-scale farmers,"Restaurant focused on quality locally sourced food, community, and a conscious dining experience.",https://www.eatperennial.com/,https://www.instagram.com/eatperennial,https://www.facebook.com/eatperennial,,https://www.eatperennial.com/,Perennial Restaurant,,,Official website provides active hours and Montgomery address.,Food & Drink,business,pending_review,geocode_before_public_pin;source_url_and_address_manual_confirmation_required,perennial restaurant|1914 mulberry street|montgomery|al,44.csv
Baptist Medical Center South,2105 E South Blvd,Montgomery,AL,36116,USA,health,hospital and specialty care,emergency care; Level I trauma; cardiovascular; maternity; NICU; behavioral health; surgery; hospice,"492-bed acute-care hospital serving Central Alabama with emergency, trauma, specialty, maternity, behavioral-health, and surgical services.",https://www.baptistfirst.org/location/baptist-medical-center-south/,,,,https://www.baptistfirst.org/location/baptist-medical-center-south,Baptist Health,,,Official hospital location page provides address and active 24-hour status.,Health & Wellness,regulated_review,needs_research,geocode_before_public_pin;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,baptist medical center south|2105 e south blvd|montgomery|al,44.csv
Central Alabama VA Medical Center-Montgomery,215 Perry Hill Road,Montgomery,AL,36109-3725,USA,health,veterans medical center,primary care; specialty care; mental health; cardiology; urology; dementia care; audiology; veteran transportation,"VA hospital providing primary and specialty health services, mental health care, cardiology, urology, dementia care, audiology, and veteran transportation support.",https://www.va.gov/central-alabama-health-care/locations/central-alabama-va-medical-center-montgomery/,,,,https://www.va.gov/central-alabama-health-care/locations/central-alabama-va-medical-center-montgomery/,U.S. Department of Veterans Affairs,,,Official .gov location page provides address and services.,Health & Wellness,regulated_review,needs_research,geocode_before_public_pin;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,central alabama va medical center montgomery|215 perry hill road|montgomery|al,44.csv
Health Services Inc,1845 Cherry Street,Montgomery,AL,36107,USA,health,community health center,physical health; mental health; behavioral health; social services; primary care; OB/GYN; optometry; pediatrics; dentistry,"Patient-centered health system providing affordable comprehensive physical, behavioral, and social-health services; Montgomery address publicly listed by the organization.",https://www.healthservicesinc.org/,,,,https://www.healthservicesinc.org/,Health Services Inc,,,Official website confirms service categories; address from official-site search listing.,Health & Wellness,regulated_review,needs_research,geocode_before_public_pin;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,health services inc|1845 cherry street|montgomery|al,44.csv
Oak Street Health Montgomery,3000 Rosa L. Parks Ave,Montgomery,AL,36105,USA,health,primary care clinic,primary care; chronic condition care; wellness; preventive care; immunizations; lab testing; Medicare,"Primary-care clinic welcoming new patients and coordinating preventive, chronic-condition, specialty, and social-service support for Medicare-eligible adults.",https://www.oakstreethealth.com/locations/montgomery-al/montgomery-doctors-office,https://www.instagram.com/oakstreethealth,https://www.facebook.com/OakStreetHealth,,https://www.oakstreethealth.com/locations/montgomery-al/montgomery-doctors-office,Oak Street Health,,,Official location page lists address,Health & Wellness,regulated_review,needs_research,geocode_before_public_pin;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,oak street health montgomery|3000 rosa l parks ave|montgomery|al,44.csv
United Heating and Air Conditioning Inc,840 Roy Hodges Blvd,Montgomery,AL,36117,USA,home trades,HVAC plumbing and electrical,heating; air conditioning; HVAC installation; HVAC repair; plumbing; electrical; 24-hour emergency service,"Montgomery home-services contractor providing heating and air conditioning, plumbing, electrical work, and 24-hour emergency service.",https://unitedheating.net/,,https://www.facebook.com/UnitedHeatingAir/,,https://unitedheating.net/,United Heating and Air Conditioning Inc,,,Official website states more than 30 years serving Montgomery and lists office address and services.,Home & Property Services,regulated_review,needs_research,geocode_before_public_pin;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,united heating and air conditioning inc|840 roy hodges blvd|montgomery|al,44.csv
Alabama Attorney General,501 Washington Avenue,Montgomery,AL,36104,USA,law,consumer and victim assistance,consumer complaints; victim assistance; legal opinions; law enforcement; state attorney general services,"State Attorney General office offering consumer complaint intake, victim assistance, legal opinions, and public legal resources.",https://www.alabamaag.gov/,,,,https://www.alabamaag.gov/,Office of the Alabama Attorney General,,,Official state website provides Montgomery address and public services.,Legal & Government Services,regulated_review,needs_research,geocode_before_public_pin;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,alabama attorney general|501 washington avenue|montgomery|al,44.csv
Bradley Montgomery,445 Dexter Avenue Suite 9075,Montgomery,AL,36104,USA,law,business and litigation law,general litigation; commercial litigation; products liability; pharmaceutical litigation; class actions; governmental affairs; regulatory; public finance; employment litigation,"Montgomery law-firm office offering business legal solutions, litigation, governmental affairs, regulatory, public finance, and employment-law services.",https://www.bradley.com/locations/montgomery,https://www.instagram.com/bradleylaw/,https://www.facebook.com/officialbradleylaw/,,https://www.bradley.com/locations/montgomery,Bradley,,,Official office page provides address and detailed legal practice areas.,Legal & Government Services,regulated_review,needs_research,geocode_before_public_pin;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,bradley montgomery|445 dexter avenue suite 9075|montgomery|al,44.csv
AAA - Alabama,6901 Vaughn Road,Montgomery,AL,36116,USA,travel,travel agency and roadside services,travel agency; travel services; trip planning; AAA membership; roadside assistance,AAA Alabama Montgomery location listed by the Montgomery Regional Chamber under Travel Agencies/Services.,http://www.aaa.com/,,,,https://www.montgomerychamber.com/list/member/aaa-alabama-11,Montgomery Regional Chamber of Commerce,,,Chamber listing provides Montgomery address and category; official business website linked from listing.,Travel & Hospitality,business,pending_review,geocode_before_public_pin;source_url_and_address_manual_confirmation_required,aaa alabama|6901 vaughn road|montgomery|al,44.csv
Quality Braids by Grace,10310 West Markham Street,Little Rock,AR,72205,USA,beauty,braiding,African hair braiding; knotless braids; box braids; cornrows; feed-in cornrows; specialty styles,"African hair braiding studio offering knotless and box braids, cornrows, feed-in cornrows, and specialty styles.",https://www.qualitybraidsbygrace.com/,https://www.instagram.com/qualitybraidsbygrace.ar,https://www.facebook.com/quality.braids.by.grace.ar,https://www.tiktok.com/@qualitybraidsbygracear,https://www.qualitybraidsbygrace.com/,Quality Braids by Grace,,,Official site lists Arkansas location and current hours.,Beauty & Personal Care,business,pending_review,geocode_before_public_pin;source_url_and_address_manual_confirmation_required,quality braids by grace|10310 west markham street|little rock|ar,48.csv
Community Bakery,1200 Main St,Little Rock,AR,72202,USA,food,bakery,fresh pastries; cakes; cookies; breads; sandwiches; coffee; catering,"Arkansas Food Hall of Fame bakery serving fresh-baked goods, coffee, sandwiches, custom cakes, and catering.",https://communitybakery.com/,,,,https://communitybakery.com/,Community Bakery,,,Official site lists active Downtown location and services.,Food & Drink,business,pending_review,geocode_before_public_pin;source_url_and_address_manual_confirmation_required,community bakery|1200 main st|little rock|ar,48.csv
Community Bakery,"11121 N Rodney Parham Road, Suite 14A",Little Rock,AR,72212,USA,food,bakery,fresh pastries; cakes; cookies; breads; sandwiches; coffee; catering,"Arkansas Food Hall of Fame bakery serving fresh-baked goods, coffee, sandwiches, custom cakes, and catering.",https://communitybakery.com/,https://www.instagram.com/communitybakerylr/,,,https://communitybakery.com/,Community Bakery,,,Official site lists active Rodney Parham location and services.,Food & Drink,business,pending_review,geocode_before_public_pin;source_url_and_address_manual_confirmation_required,community bakery|11121 n rodney parham road suite 14a|little rock|ar,48.csv
The Blue Cake Company,315 N. Bowman Rd.,Little Rock,AR,72211,USA,food,custom bakery,custom cakes; wedding cakes; signature cakes; petit fours; pies; coffee,"Family-owned bakery making scratch-made customized cakes and pies for weddings, birthdays, showers, graduations, and other occasions.",https://www.thebluecakecompany.com/,,https://www.facebook.com/bluecakeco/,,https://www.thebluecakecompany.com/,The Blue Cake Company,family-owned,https://www.thebluecakecompany.com/,Official site self-states family-owned; Bowman location accepts custom cake orders.,Food & Drink,business,needs_research,geocode_before_public_pin;ownership_evidence_manual_confirmation_required;source_url_and_address_manual_confirmation_required,the blue cake company|315 n bowman rd|little rock|ar,48.csv
The Blue Cake Company,6800 Cantrell Rd.,Little Rock,AR,72207,USA,food,bakery,petit fours; mini pies; cupcakes; cookies; signature cakes,"Family-owned bakery offering scratch-made desserts and same-day treats including petit fours, mini pies, cupcakes, cookies, and signature cakes.",https://www.thebluecakecompany.com/,,https://www.facebook.com/bluecakebowman/,,https://www.thebluecakecompany.com/,The Blue Cake Company,family-owned,https://www.thebluecakecompany.com/,Official site self-states family-owned; Cantrell location offers listed desserts.,Food & Drink,business,needs_research,geocode_before_public_pin;ownership_evidence_manual_confirmation_required;source_url_and_address_manual_confirmation_required,the blue cake company|6800 cantrell rd|little rock|ar,48.csv
The White Water Tavern,2500 West 7th Street,Little Rock,AR,72205,USA,nightlife,live music tavern,live music; concerts; karaoke; food; drinks; events; gift cards,"Legendary Little Rock tavern hosting live music, concerts, karaoke, food, drinks, and community events.",https://www.whitewatertavern.com/,https://www.instagram.com/whitewatertavern,https://www.facebook.com/The-White-Water-Tavern-308817294918,,https://www.whitewatertavern.com/,The White Water Tavern,,,"Official site lists active shows, hours, address, food, and gift cards.",Food & Drink,business,pending_review,geocode_before_public_pin;source_url_and_address_manual_confirmation_required,the white water tavern|2500 west 7th street|little rock|ar,48.csv
Divine Mercy Health Center,"6221 Colonel Glenn Rd., Suite B",Little Rock,AR,72204,USA,health,primary care clinic,primary care; behavioral health; direct care plan; walk-in appointments; bilingual care; care coordination,"Community medical nonprofit providing affordable primary care, integrated behavioral health, bilingual support, and charitable care.",https://divinemercyhealthcenter.org/clinic/,https://www.instagram.com/divinemercyhealthcenter/?hl=en,https://www.facebook.com/p/Divine-Mercy-Health-Center-100061056626380/,,https://divinemercyhealthcenter.org/clinic/,Divine Mercy Health Center,,,Official site identifies 501(c)(3) medical nonprofit; regulated clinic included because official source documents operating services.,Health & Wellness,regulated_review,needs_research,geocode_before_public_pin;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,divine mercy health center|6221 colonel glenn rd suite b|little rock|ar,48.csv
"Big Rock Legacy Law Group, Attorneys & Counselors, PLC","425 W Capitol Ave, Ste. 3280",Little Rock,AR,72201,USA,law,estate/business/criminal law,estate planning; wills; trusts; probate; business formation; contracts; personal injury; criminal defense,"Little Rock law firm handling estate planning, business law, personal injury, and criminal defense matters.",https://brllg.com/,,https://www.facebook.com/brllgplc,,https://brllg.com/,"Big Rock Legacy Law Group, Attorneys & Counselors, PLC",,,Official site provides Little Rock address and service areas.,Legal & Government Services,regulated_review,needs_research,geocode_before_public_pin;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,big rock legacy law group attorneys counselors plc|425 w capitol ave ste 3280|little rock|ar,48.csv
"Mays, Byrd & O'Guinn, PLLC","212 Center Street, Suite 700-A",Little Rock,AR,72201,USA,law,personal injury law,auto accidents; pedestrian accidents; dog bites; slip and fall; motorcycle accidents; medical malpractice; truck accidents; wrongful death,Personal injury law firm representing accident and negligence victims in Little Rock and Arkansas.,https://mbolawgroup.com/,https://www.instagram.com/mbolawgroup/,https://www.facebook.com/mbolawgroup,,https://mbolawgroup.com/,"Mays, Byrd & O'Guinn, PLLC",minority-owned,https://mbolawgroup.com/,Official site self-states “one of the largest minority-owned law firms in Arkansas.”,Legal & Government Services,regulated_review,needs_research,geocode_before_public_pin;ownership_evidence_manual_confirmation_required;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,mays byrd o guinn pllc|212 center street suite 700 a|little rock|ar,48.csv
The Capital Hotel,111 West Markham Street,Little Rock,AR,72201,USA,travel,hotel and events,hotel accommodations; concierge; dining; bar and grill; meetings; weddings; airport transportation; fitness center,"Historic downtown Little Rock luxury hotel with accommodations, dining, concierge, event venues, and wedding services.",https://www.capitalhotel.com/,https://www.instagram.com/capitalhotellr/,https://www.facebook.com/theCapitalHotel/,,https://www.capitalhotel.com/,The Capital Hotel,,,"Official site structured data lists address, services, and active hotel operations.",Travel & Hospitality,business,pending_review,geocode_before_public_pin;source_url_and_address_manual_confirmation_required,the capital hotel|111 west markham street|little rock|ar,48.csv
Look Better Naked Spa,"620 W Adams St, inside University of S.A.Q.",Phoenix,AZ,85003,USA,beauty,spa and body care,spa; body care; skincare; inclusive wellness; esthetics,"Phoenix spa founded by Nadjege Casimir with an explicitly welcoming, inclusive approach to body confidence and care.",https://www.lookbetternakedspa.com/,,,,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,Downtown Phoenix Inc.,Black-owned; founder/CEO Nadjege Casimir (source-backed),https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,"DTPHX names founder/CEO, address and official website.",Beauty & Personal Care,business,needs_research,geocode_before_public_pin;ownership_evidence_manual_confirmation_required;source_url_and_address_manual_confirmation_required,look better naked spa|620 w adams st inside university of s a q|phoenix|az,52.csv
Nail Snob Phx,400 N 2nd Ave,Phoenix,AZ,85003,USA,beauty,nail salon,natural nail extensions; gel manicures; dry pedicures; nail studio,"Creative studio salon specializing in natural nail extensions, gel manicures and dry pedicures.",https://www.nailsnobphx.com/,,,,https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,Downtown Phoenix Inc.,Black-owned (source-backed),https://dtphx.org/post/black-owned-businesses-in-downtown-phoenix,"DTPHX provides address, service description and official website.",Beauty & Personal Care,business,needs_research,geocode_before_public_pin;ownership_evidence_manual_confirmation_required;source_url_and_address_manual_confirmation_required,nail snob phx|400 n 2nd ave|phoenix|az,52.csv
Rhema Braiding,2647 W Glendale Ave,Phoenix,AZ,85051,USA,beauty,braiding salon,box braids; knotless braids; cornrows; twists; tribal braids; wig installs; kids styles; men styles,"Multi-braider Phoenix salon offering protective styles, wig installations and children’s and men’s braiding services.",https://rhema-braiding.squarespace.com/,https://www.instagram.com/rhema.braiding.o1,https://www.facebook.com/profile.php?id=100047276911434,https://www.tiktok.com/@rhemabraiding,https://rhema-braiding.squarespace.com/,Rhema Braiding official website,None stated,,"Official site lists Phoenix location, service menu and official social links; no hair-washing or color services.",Beauty & Personal Care,business,needs_research,geocode_before_public_pin;ownership_evidence_manual_confirmation_required;source_url_and_address_manual_confirmation_required,rhema braiding|2647 w glendale ave|phoenix|az,52.csv
Unity Braids and Beauty,1638 S 7th St,Phoenix,AZ,85034,USA,beauty,braiding and natural hair salon,box braids; knotless braids; cornrows; locs; twists; silk press; wig install; makeup; children's hairstyles,"Appointment-based Phoenix braiding and beauty salon offering extensive protective-style, natural-hair, makeup and nail/tattoo-related services.",https://unitybraidsandbeauty.acuityscheduling.com/,,,,https://unitybraidsandbeauty.acuityscheduling.com/,Unity Braids and Beauty official booking page,None stated,,Official booking page explicitly gives current Phoenix address and detailed service menu.,Beauty & Personal Care,business,needs_research,geocode_before_public_pin;ownership_evidence_manual_confirmation_required;source_url_and_address_manual_confirmation_required,unity braids and beauty|1638 s 7th st|phoenix|az,52.csv
