name,address,city,state_or_region,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,location_type,languages,hours,price_range,address_enrichment_note,notes
The House PR,"1057 Ashford Avenue, Condado",San Juan,Puerto Rico,00907,United States,nightlife,bar,cocktails; bar; nightlife,Cocktail bar and lounge,https://www.thehousepr.com/,,,,,https://www.thehousepr.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
La Factoria,"148 Calle San Sebastián, Viejo San Juan",San Juan,Puerto Rico,00901,United States,nightlife,bar,cocktails; live music; nightlife,Multi-room cocktail bar,https://www.lafactoriavsj.com/,,,,,https://www.lafactoriavsj.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
JungleBird,"254 Calle Canals, Santurce",San Juan,Puerto Rico,00907,United States,nightlife,bar,rum cocktails; tiki bar; nightlife,Tropical cocktail bar,https://www.junglebirdpr.com/,,,,,https://www.junglebirdpr.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Condado Beach,"1045 Ashford Avenue, Condado",San Juan,Puerto Rico,00907,United States,experiences,beach,beach; swimming; recreation,Public beach destination in Condado,https://www.discoverpuertorico.com/profile/condado-beach/8844,,,,,https://www.discoverpuertorico.com/profile/condado-beach/8844,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Museo de Arte de Puerto Rico,"299 Avenida de Diego, Santurce",San Juan,Puerto Rico,00909,United States,experiences,museum,art museum; exhibitions; education,Art museum,https://www.mapr.org/,,,,,https://www.mapr.org/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Museo de Arte Contemporáneo de Puerto Rico,"1220 Avenida Juan Ponce de León, Santurce",San Juan,Puerto Rico,00907,United States,experiences,museum,contemporary art; exhibitions; events,Contemporary art museum,https://mac-pr.org/,,,,,https://mac-pr.org/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Museo de las Américas,"Calle Beneficencia, Cuartel de Ballajá",San Juan,Puerto Rico,00901,United States,experiences,museum,museum; Puerto Rican culture; exhibitions,Museum of the Americas,https://museodelasamericas.org/,,,,,https://museodelasamericas.org/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Castillo San Felipe del Morro,"501 Calle Norzagaray, Viejo San Juan",San Juan,Puerto Rico,00901,United States,experiences,historic site,fort; visitor tours; National Park,National historic site and visitor attraction,https://www.nps.gov/saju/,,,,,https://www.nps.gov/saju/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Casa Bacardí Puerto Rico,"Carr. 165, Cataño",San Juan,Puerto Rico,00962,United States,experiences,tour,rum tour; tastings; visitor experience,Rum distillery visitor experience (Cataño municipality excluded),https://www.bacardi.com/en-us/our-rum/casa-bacardi/,,,,,https://www.bacardi.com/en-us/our-rum/casa-bacardi/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
La Respuesta,"1603 Avenida Fernández Juncos, Santurce",San Juan,Puerto Rico,00907,United States,nightlife,music venue,live music; concerts; events,Live music and cultural venue,https://www.larespuestapr.com/,,,,,https://www.larespuestapr.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Caribe Hilton,"1 Calle San Gerónimo, San Juan",San Juan,Puerto Rico,00901,United States,housing,hotel,hotel; rooms; meetings; beach,Hotel and conference venue,https://www.hilton.com/en/hotels/sjucich-caribe-hilton/,,,,,https://www.hilton.com/en/hotels/sjucich-caribe-hilton/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Condado Vanderbilt Hotel,"1055 Ashford Avenue, Condado",San Juan,Puerto Rico,00907,United States,housing,hotel,hotel; rooms; spa; meetings,Luxury hotel,https://www.condadovanderbilt.com/,,,,,https://www.condadovanderbilt.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
La Concha Renaissance San Juan Resort,"1077 Ashford Avenue, Condado",San Juan,Puerto Rico,00907,United States,housing,hotel,hotel; rooms; pool; events,Resort hotel,https://www.marriott.com/en-us/hotels/sjuls-la-concha-renaissance-san-juan-resort/,,,,,https://www.marriott.com/en-us/hotels/sjuls-la-concha-renaissance-san-juan-resort/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
San Juan Marriott Resort & Stellaris Casino,"1309 Ashford Avenue, Condado",San Juan,Puerto Rico,00907,United States,housing,hotel,hotel; rooms; casino; meetings,Resort hotel and casino,https://www.marriott.com/en-us/hotels/sjurs-san-juan-marriott-resort-stellaris-casino/,,,,,https://www.marriott.com/en-us/hotels/sjurs-san-juan-marriott-resort-stellaris-casino/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Hospital Pavia Santurce,"Ave. Ponce de León 1451, Santurce",San Juan,Puerto Rico,00909,United States,health,hospital,hospital; emergency; surgery,General hospital,https://hospitalpavia.com/,,,,,https://hospitalpavia.com/,Official website,,,true,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Hospital HIMA San Pablo Cupey,"Ave. 65 de Infantería, Cupey",San Juan,Puerto Rico,00926,United States,health,hospital,hospital; emergency; medical care,Hospital and medical services,https://himasanpablo.com/,,,,,https://himasanpablo.com/,Official website,,,true,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Ashford Presbyterian Community Hospital,"1451 Ashford Avenue, Condado",San Juan,Puerto Rico,00907,United States,health,hospital,hospital; emergency; medical care,Community hospital,https://www.ashfordhospital.com/,,,,,https://www.ashfordhospital.com/,Official website,,,true,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Metro Pavia Clinic,"Avenida Ponce de León 733, Hato Rey",San Juan,Puerto Rico,00918,United States,health,clinic,primary care; medical clinic,Outpatient medical clinic,https://metropavia.com/,,,,,https://metropavia.com/,Official website,,,true,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Altamira Dental Group,"Avenida José de Diego 146, Puerto Nuevo",San Juan,Puerto Rico,00920,United States,health,dental,dentist; orthodontics; implants,Dental practice,https://altamiradental.com/,,,,,https://altamiradental.com/,Official website,,,true,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
San Jorge Children’s Hospital,"258 Calle San Jorge, Santurce",San Juan,Puerto Rico,00912,United States,health,children hospital,pediatrics; emergency; hospital,Children’s hospital,https://sanjorgechildrenshospital.com/,,,,,https://sanjorgechildrenshospital.com/,Official website,,,true,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
The Barber Room,"110 Calle Canals, Santurce",San Juan,Puerto Rico,00907,United States,hair_beauty,barber,barber; haircut; grooming,Barbershop,https://www.thebarberroompr.com/,,,,,https://www.thebarberroompr.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
D’ La Vega Salon,"1102 Avenida Ashford, Condado",San Juan,Puerto Rico,00907,United States,hair_beauty,salon,hair salon; styling; color,Hair salon,https://www.dlavegasalon.com/,,,,,https://www.dlavegasalon.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Bliss Spa Puerto Rico,"1055 Ashford Avenue, Condado",San Juan,Puerto Rico,00907,United States,hair_beauty,spa,spa; massage; facials,Day spa,https://www.blissspa.com/,,,,,https://www.blissspa.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Lash Dolls PR,"1507 Avenida Ponce de León, Santurce",San Juan,Puerto Rico,00909,United States,hair_beauty,beauty,lashes; brows; beauty services,Beauty studio,https://www.lashdollspr.com/,,,,,https://www.lashdollspr.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Universidad del Sagrado Corazón," calle Rosales, Santurce",San Juan,Puerto Rico,00914,United States,education,university,higher education; arts; business,Private university,https://www.sagrado.edu/,,,,,https://www.sagrado.edu/,Official website,,,true,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Universidad de Puerto Rico Recinto de Río Piedras,"Avenida Universidad, Río Piedras",San Juan,Puerto Rico,00931,United States,education,university,higher education; research,Public university campus,https://www.uprrp.edu/,,,,,https://www.uprrp.edu/,Official website,,,true,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Boys & Girls Clubs of Puerto Rico – Club de San Juan,"Ave. Barbosa, San Juan",San Juan,Puerto Rico,00927,United States,childcare_education,youth services,after-school; youth development; education,Youth-serving nonprofit club,https://bgcpr.org/,,,,,https://bgcpr.org/,Official website,,,true,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Caribbean School,"Carr. 176, Cupey",San Juan,Puerto Rico,00926,United States,education,school,private school; K-12 education,Private school,https://www.caribbeanschool.org/,,,,,https://www.caribbeanschool.org/,Official website,,,true,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Ferretería Americana,"Avenida 65 de Infantería 1500, San Juan",San Juan,Puerto Rico,00926,United States,trades,hardware,hardware; tools; home improvement,Hardware and home-improvement retailer,https://www.ferreteriaamericana.com/,,,,,https://www.ferreteriaamericana.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
National Lumber & Hardware,"Avenida 65 de Infantería 1500, San Juan",San Juan,Puerto Rico,00926,United States,trades,hardware,lumber; hardware; construction supplies,Building materials retailer,https://www.nationallumber.com/,,,,,https://www.nationallumber.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Aireko Construction,"1500 Calle Antonsanti, San Juan",San Juan,Puerto Rico,00911,United States,trades,construction,construction; remodeling; engineering,Construction contractor,https://aireko.com/,,,,,https://aireko.com/,Official website,,,true,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Pep Boys,"Ave. 65 de Infantería, San Juan",San Juan,Puerto Rico,00924,United States,auto,auto parts and repair,auto parts; tires; repair; maintenance,Auto parts and service center,https://www.pepboys.com/,,,,,https://www.pepboys.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
AutoZone,"Avenida 65 de Infantería, San Juan",San Juan,Puerto Rico,00924,United States,auto,auto parts,auto parts; batteries; accessories,Auto parts retailer,https://www.autozone.com/,,,,,https://www.autozone.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Flagship Honda,"Ave. 65 de Infantería 1235, San Juan",San Juan,Puerto Rico,00924,United States,auto,dealership,Honda vehicles; service; parts,Honda dealership,https://www.flagshiphonda.com/,,,,,https://www.flagshiphonda.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Caribbean Cinemas – Plaza Las Américas,"525 Avenida Franklin Delano Roosevelt, Hato Rey",San Juan,Puerto Rico,00918,United States,retail,cinema,movies; cinema; concessions,Multiplex cinema,https://www.caribbeancinemas.com/,,,,,https://www.caribbeancinemas.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Plaza Las Américas,"525 Avenida Franklin Delano Roosevelt, Hato Rey",San Juan,Puerto Rico,00918,United States,retail,shopping mall,retail; dining; services,Shopping mall,https://www.plazalasamericas.com/,,,,,https://www.plazalasamericas.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
The Mall of San Juan,1000 The Mall of San Juan Boulevard,San Juan,Puerto Rico,00924,United States,retail,shopping mall,retail; dining; luxury shopping,Shopping mall,https://www.themallofsanjuan.com/,,,,,https://www.themallofsanjuan.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Casa Febus,"155 Calle de la Cruz, Viejo San Juan",San Juan,Puerto Rico,00901,United States,retail,home goods,home goods; gifts; Puerto Rican products,Home and gift shop,https://www.casafebus.com/,,,,,https://www.casafebus.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Puerto Rico Art & Crafts,"204 Calle de la Fortaleza, Viejo San Juan",San Juan,Puerto Rico,00901,United States,retail,arts and crafts,Puerto Rican art; crafts; gifts,Retail shop for Puerto Rican arts and crafts,https://www.puertoricoartcraft.com/,,,,,https://www.puertoricoartcraft.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Galería Botello,"208 Calle del Cristo, Viejo San Juan",San Juan,Puerto Rico,00901,United States,retail,art gallery,Puerto Rican art; gallery; gifts,Art gallery,https://www.galeriabotello.com/,,,,,https://www.galeriabotello.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
"Popular, Inc. – Plaza Las Américas","209 Avenida Roosevelt, Hato Rey",San Juan,Puerto Rico,00918,United States,legal_financial,bank,banking; loans; accounts; financial services,Bank branch,https://www.popular.com/,,,,,https://www.popular.com/,Official website,,,true,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Banco Santander Puerto Rico – Hato Rey,"1200 Avenida Roosevelt, Hato Rey",San Juan,Puerto Rico,00918,United States,legal_financial,bank,banking; loans; accounts,Bank branch,https://www.santander.pr/,,,,,https://www.santander.pr/,Official website,,,true,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
O’Neill & Borges LLC,"American International Plaza, 250 Muñoz Rivera Avenue, Hato Rey",San Juan,Puerto Rico,00918,United States,legal_financial,law firm,business law; litigation; legal services,Law firm,https://www.oneillborges.com/,,,,,https://www.oneillborges.com/,Official website,,,true,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Pietrantoni Méndez & Álvarez LLC,"Popular Center, 208 Ponce de León Avenue, Hato Rey",San Juan,Puerto Rico,00918,United States,legal_financial,law firm,corporate law; litigation; legal services,Law firm,https://www.pmalaw.com/,,,,,https://www.pmalaw.com/,Official website,,,true,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Grant Thornton Puerto Rico,"Metro Office Park, 5 Calle 1, Guaynabo",San Juan,Puerto Rico,00968,United States,legal_financial,accounting,audit; tax; advisory,Accounting and advisory firm (Guaynabo municipality excluded),https://www.grantthornton.pr/,,,,,https://www.grantthornton.pr/,Official website,,,true,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Puerto Rico Convention Center,"100 Convention Boulevard, San Juan",San Juan,Puerto Rico,00907,United States,b2b_supplier,events venue,conferences; exhibitions; meetings,Convention and events venue,https://www.prconvention.com/,,,,,https://www.prconvention.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Sheraton Puerto Rico Resort & Casino,"200 Convention Boulevard, San Juan",San Juan,Puerto Rico,00907,United States,housing,hotel,hotel; casino; meetings; events,Hotel and convention venue,https://www.marriott.com/en-us/hotels/sjusi-sheraton-puerto-rico-resort-and-casino/,,,,,https://www.marriott.com/en-us/hotels/sjusi-sheraton-puerto-rico-resort-and-casino/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
El Mercado de Paseo Caribe,"1 Calle Los Rosales, San Juan",San Juan,Puerto Rico,00901,United States,retail,market,food hall; retail; dining,Mixed-use retail and dining destination,https://www.paseocaribe.com/,,,,,https://www.paseocaribe.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Santurce Es Ley,"Avenida Fernández Juncos, Santurce",San Juan,Puerto Rico,00907,United States,experiences,arts festival,public art; cultural events; community,Community arts and cultural event organization,https://santurceesley.com/,,,,,https://santurceesley.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
